"","10 min","30 min","60 min","10 min","30 min","60 min","10 min","30 min","60 min"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",6.81212519423972e-14,4.84695329145063e-21,3.95261308655872e-20,2.77797911738029e-24,2.01145174123826e-23,1.41888714332061e-17,5.79793355105337e-20,5.73323363022273e-21,2.20532766018181e-24
"C",0.145997212302028,0.00106929763112871,0.0129689662730489,0.00683373445010292,0.00067189904463519,0.000660907833067321,1.93204299907151e-05,0.00175208882375756,6.21503513040471e-06
"D",0.0691066652220495,0.00321488957121505,0.190023566898445,0.00192452978417212,3.05428234490016e-05,0.00143079919563258,7.44165474960651e-06,1.05529000270105e-05,5.62176462352965e-06
"E",1.55293705515192e-13,7.34550974885623e-27,4.31880805220041e-24,6.47061092656279e-07,1.43031829938169e-20,1.47509720520618e-21,1.23876949602438e-05,4.90146695157581e-09,2.29090607454546e-12
"F",1.39231871704102e-94,1.36881104949799e-68,1.27360645492465e-46,4.86012398437984e-80,1.71704825231458e-53,3.3364064250207e-35,1.1592794903788e-100,2.37953378922183e-70,1.62607872821696e-48
"G",6.71101155457026e-92,1.61414064942071e-67,1.44571869843966e-45,6.12621573858966e-88,3.42695602173203e-53,6.04369259370609e-36,3.42926805460779e-98,1.63152189872147e-69,1.3651378711863e-48
"H",7.67315992701288e-95,2.71770866334882e-67,5.56662602779945e-46,8.57695657032516e-76,3.17428148571942e-56,3.34214900836525e-37,1.76239628109652e-100,8.14791120470163e-65,2.76926476037472e-45
"I",3.93428105141283e-95,4.04389610248562e-67,4.72057830369838e-46,1.68092820571115e-75,4.60123712659622e-56,3.99877619813811e-37,5.55075558619911e-100,9.46352340940892e-65,2.90288488197478e-45
"J",2.53607150283076e-100,9.48476064408203e-68,3.83061955061015e-48,1.11869294087042e-75,7.16636378377191e-57,2.45525015526593e-38,1.03295380301935e-97,4.5439318178666e-62,3.76747073478514e-43
"K",9.38548140468926e-05,6.77354516086087e-41,7.3985896655667e-36,5.68709414129236e-11,5.30684038260898e-44,1.58394768361285e-32,1.67030613378864e-06,7.74660895731327e-41,1.00144445730737e-34
"L",3.83628956136493e-25,1.45082050607233e-43,1.89351541772875e-39,1.16918093394234e-50,2.29905276478457e-46,1.87535704244197e-34,2.71282230157714e-34,6.36050572958608e-46,1.02008449556986e-36
"M",1.82752997073169e-23,3.16500557035367e-44,7.74722953447276e-38,1.05233118682331e-28,3.03845837484462e-47,8.01396837995089e-38,2.79117977911164e-21,6.4828514411207e-42,1.6069535379576e-38
"N",1.30088076707909e-05,1.86526406990048e-38,9.88769651673602e-33,4.78045206930197e-09,8.39403436738228e-47,1.93694794723173e-34,3.99911612073898e-06,8.31829275517811e-40,7.06422634741335e-35
"O",4.32325570422758e-08,2.6132315704412e-39,5.87033189333272e-36,5.12954294951117e-11,4.72559688949969e-47,3.5920784497639e-35,7.64345070114136e-07,7.8727557626131e-39,5.72971494961714e-35
"P",7.89929803975067e-103,1.00560984941091e-78,6.26642181600358e-57,7.44618804218632e-83,3.6114639558496e-54,1.41279585062368e-45,2.93144284907628e-93,7.29938910467641e-64,5.46043416176193e-43
"Q",2.7783982289436e-99,5.56528762450929e-79,4.76541806441638e-54,2.29135263606434e-91,2.80905002322266e-53,5.33625349527921e-41,8.28839379510241e-93,1.63743480341385e-64,4.35882617017063e-45
"R",2.04629508971079e-102,5.93867858902168e-73,1.11963691387378e-50,1.754899816674e-76,5.95528147748415e-54,2.06204448883702e-37,1.21228015862571e-94,3.12543376305966e-60,4.08459217336701e-42
"S",6.87231125011265e-103,6.09981718696857e-73,1.10859628321586e-50,1.39275594933942e-76,1.02249199269969e-53,2.63253334959667e-37,1.17154719926444e-94,2.40714865527262e-60,3.76529925074639e-42
"T",4.86062015538461e-103,4.1228796930114e-73,6.81518287584431e-51,3.33305361837984e-75,2.60874220807375e-52,1.45220362552265e-37,1.30605931670298e-93,2.06769884147347e-59,5.30556133632598e-42
